episode,train_return,train_shared_return,train_shared_per_step,train_steps,eval_shared_return,eval_shared_per_step,eval_steps
1,-225.44496623139952,-225.44496623139952,-0.2254449662313995,1000,-139.29103128169854,-0.13929103128169854,1000
2,-191.12687944943616,-191.12687944943616,-0.19112687944943615,1000,-139.29103128169854,-0.13929103128169854,1000
3,-214.97739296705308,-214.97739296705308,-0.21497739296705307,1000,-139.29103128169854,-0.13929103128169854,1000
4,-197.5625157312067,-197.5625157312067,-0.1975625157312067,1000,-139.29103128169854,-0.13929103128169854,1000
5,-209.5827479582583,-209.5827479582583,-0.2095827479582583,1000,-139.3333893489413,-0.1393333893489413,1000
6,-194.4389818315323,-194.4389818315323,-0.1944389818315323,1000,-6.434186452095867,-0.0064341864520958665,1000
7,-149.63402494369768,-149.63402494369768,-0.14963402494369768,1000,-6.03443664245718,-0.00603443664245718,1000
8,-149.51761932132018,-149.51761932132018,-0.14951761932132018,1000,-4.669109994900998,-0.004669109994900998,1000
9,-153.41424799617158,-153.41424799617158,-0.1534142479961716,1000,-8.077040638192267,-0.008077040638192267,1000
10,-151.6626819371191,-151.6626819371191,-0.1516626819371191,1000,-4.486811504030356,-0.004486811504030356,1000
11,-133.2283785009694,-133.2283785009694,-0.13322837850096939,1000,-2.0265202582401085,-0.0020265202582401085,1000
12,-149.7976973209233,-149.7976973209233,-0.1497976973209233,1000,-1.6770051794604062,-0.0016770051794604062,1000
13,-155.27134899257499,-155.27134899257499,-0.155271348992575,1000,-3.6664231454633414,-0.0036664231454633413,1000
14,-142.3561146986305,-142.3561146986305,-0.1423561146986305,1000,-2.4423459517924466,-0.002442345951792447,1000
15,-149.08522289507746,-149.08522289507746,-0.14908522289507747,1000,-3.3096678904655907,-0.0033096678904655907,1000
16,-146.16633937269586,-146.16633937269586,-0.14616633937269585,1000,-3.56696413747104,-0.00356696413747104,1000
17,-149.5856241044885,-149.5856241044885,-0.1495856241044885,1000,-1.8245685639387728,-0.0018245685639387728,1000
18,-154.0383135154627,-154.0383135154627,-0.1540383135154627,1000,-1.7503014534176593,-0.0017503014534176592,1000
19,-132.75763601789555,-132.75763601789555,-0.13275763601789556,1000,-1.608755232566898,-0.001608755232566898,1000
20,-154.94135667634413,-154.94135667634413,-0.15494135667634412,1000,-3.249857395402189,-0.0032498573954021894,1000
21,-150.75180553790057,-150.75180553790057,-0.15075180553790057,1000,-1.6474596184647967,-0.0016474596184647967,1000
