2025-12-22 14:28:51,074 | INFO | DDPG_heatpump_Input__none_Ontology | Episode  10 | Return: -151.663 | shared/step: -0.1517
2025-12-22 14:31:06,953 | INFO | DDPG_heatpump_Input__none_Ontology | Episode  20 | Return: -154.941 | shared/step: -0.1549
2025-12-22 14:33:33,198 | INFO | DDPG_heatpump_Input__none_Ontology | Episode  30 | Return: -134.539 | shared/step: -0.1345
2025-12-22 14:36:22,319 | INFO | DDPG_heatpump_Input__none_Ontology | Episode  40 | Return: -131.160 | shared/step: -0.1312
2025-12-22 14:38:53,902 | INFO | DDPG_heatpump_Input__none_Ontology | Episode  50 | Return: -149.539 | shared/step: -0.1495
2025-12-22 14:41:17,446 | INFO | DDPG_heatpump_Input__none_Ontology | Episode  60 | Return: -157.382 | shared/step: -0.1574
2025-12-22 14:43:59,951 | INFO | DDPG_heatpump_Input__none_Ontology | Episode  70 | Return: -131.678 | shared/step: -0.1317
2025-12-22 14:47:17,030 | INFO | DDPG_heatpump_Input__none_Ontology | Episode  80 | Return: -144.487 | shared/step: -0.1445
2025-12-22 14:50:51,509 | INFO | DDPG_heatpump_Input__none_Ontology | Episode  90 | Return: -151.689 | shared/step: -0.1517
2025-12-22 14:54:22,828 | INFO | DDPG_heatpump_Input__none_Ontology | Episode 100 | Return: -140.421 | shared/step: -0.1404
2025-12-22 14:54:22,833 | INFO | DDPG_heatpump_Input__none_Ontology | wrote C:\Workspace\Research\reinforcement_learning\ddpg_results\DDPG_heatpump_Input__none_Ontology\episode_metrics.csv
2025-12-22 14:54:22,837 | INFO | [SAVED] C:\Workspace\Research\reinforcement_learning\ddpg_results\DDPG_heatpump_Input__none_Ontology\DDPG_heatpump_Input__none_Ontology.pt
2025-12-22 14:54:27,922 | INFO | DDPG_heatpump_Input__none_Ontology | TEST  μ=-227.167 σ=0.000
2025-12-22 14:54:28,097 | INFO | DDPG_heatpump_Input__none_Ontology | SHARED_OPT | policy/step=-0.2272 | baseline/step=-0.0200 | oracle/step=0.0000 | ratio=-10.3453 | gap=0.2272
2025-12-22 14:54:28,243 | INFO | [SAVED] C:\Workspace\Research\reinforcement_learning\ddpg_results\DDPG_heatpump_Input__none_Ontology\curve_DDPG_heatpump_Input__none_Ontology.png
2025-12-22 14:54:31,583 | INFO | [TIME] DDPG_heatpump_Input__none_Ontology  1617.67 s
2025-12-22 14:54:31,583 | INFO | 
Training finished in 26 min 57.9 s
